filter,wavelength_nm,slope_cm2_per_order,intercept_cm2,R_MNK_cm,R_42_cm,R_31_cm,R_avg_filter_cm
Зелёный,546.1,0.0070954639209926534,0.006658587116947186,129.92975500810573,127.87717569113352,128.38491692021813,128.13104630567582
Красный,630.0,0.008281066909769347,0.007065588293002561,131.44550650427536,132.2157626250767,130.37903518972846,131.29739890740257
Оранжевый,578.4,0.007502881171534496,0.007314833710871887,129.71786257839724,126.21347556817858,132.88060410954958,129.54703983886407
Синий,435.8,0.0062130325950657955,0.006903646013879004,142.5661449074299,142.01753418528847,143.0761123649067,142.54682327509758
