line,assumed_lambda_nm,x_cm,y_cm,n_theor_F2,gamma_exp_deg,delta_gamma_deg,gamma_theor_deg,n_exp,delta_n,rel_error_n_percent
1,436.000000,17.000000,27.000000,1.642020,57.804266,0.179576,50.372054,1.712573,0.001619,4.296697
2,546.000000,18.000000,25.000000,1.624080,54.246113,0.185990,48.591453,1.679677,0.001762,3.423277
